127.0.0.1 - - [20/Jun/2019:08:17:38 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:41 +0800] "GET /APP_TRIP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:41 +0800] "GET /APP_TRIP/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:42 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "GET /APP_TRIP/prjPages/prjCss/localCSS.css?rev=c5dd92e7cd730ddd81cc37360e979674 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "GET /APP_TRIP/prjPages/appViewContent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/m_getWFIdenityFromMobile.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadInitConstants.action HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/getMobileUserContext.action HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadAdvertisesForMobile.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "GET /APP_TRIP/prjPages/id09728e950dd2d23561a7c30cc69db9276693054c.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadInitFunction.action HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "GET /APP_TRIP/prjPages/prjCss/id09728e950dd2d23561a7c30cc69db9276693054c.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "GET /APP_TRIP/prjPages/prjJSs/id09728e950dd2d23561a7c30cc69db9276693054c.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/common_bindSQLDataBackend.action HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "GET /APP_TRIP/%7B%7BICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 4586
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:43 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 5066
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/idd441458ac059c2a542907ee5eadd24b5044172c7.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/prjCss/idd441458ac059c2a542907ee5eadd24b5044172c7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/%7B%7BTYPE_ICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/prjJSs/idd441458ac059c2a542907ee5eadd24b5044172c7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 21535
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/id3ca64cacc688db6f7a855704682778d3db45ae40.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/%7B%7BTRIPTYPE_ICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/prjCss/id3ca64cacc688db6f7a855704682778d3db45ae40.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/prjJSs/id3ca64cacc688db6f7a855704682778d3db45ae40.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 25614
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/id195584c98b24d25c40de76a337fe18dd4cef1b31.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/prjCss/id195584c98b24d25c40de76a337fe18dd4cef1b31.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/prjPages/prjJSs/id195584c98b24d25c40de76a337fe18dd4cef1b31.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "GET /APP_TRIP/%7B%7BUSER_ICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [20/Jun/2019:08:17:44 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2768
