127.0.0.1 - - [04/Jun/2019:08:22:25 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:25 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:25 +0800] "GET /WF_CAR/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:26 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:57 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6789
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "GET /WF_CAR/core/menu.js?_=1559607779382 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [04/Jun/2019:08:22:59 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 5378
