127.0.0.1 - - [24/May/2019:08:47:42 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:45 +0800] "GET /WF_CAR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:46 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:57 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:58 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "GET /WF_CAR/core/menu.js?_=1558658879067 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "GET /WF_CAR/core/menu.js?_=1558658879068 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [24/May/2019:08:47:59 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8292
0:0:0:0:0:0:0:1 - - [24/May/2019:08:48:00 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/May/2019:08:48:14 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [24/May/2019:08:48:14 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [24/May/2019:08:48:14 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [24/May/2019:09:01:40 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6773
