127.0.0.1 - - [01/Jun/2019:13:56:31 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:56:49 +0800] "GET /WF_CAR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:56:49 +0800] "GET /WF_CAR/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:56:50 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:01 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:02 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "GET /WF_CAR/jquery/jquery.validate.min.js?v=902 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "GET /WF_CAR/core/grid.js?v=988 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "GET /WF_CAR/core/menu.js?_=1559368623072 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "GET /WF_CAR/core/menu.js?_=1559368623073 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8348
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:03 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:14 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:14 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 7315
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:14 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:16 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:22 +0800] "POST /WF_CAR/commonUpdate_responseButtonEvent.action HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:30 +0800] "POST /WF_CAR/commonUpdate_responseButtonEvent.action HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:34 +0800] "POST /WF_CAR/commonUpdate_responseButtonEvent.action HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:42 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:42 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 9204
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:42 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:57:43 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:31 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "GET /WF_CAR/core/menu.js?_=1559368772028 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "GET /WF_CAR/core/menu.js?_=1559368772029 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8348
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [01/Jun/2019:13:59:32 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
