127.0.0.1 - - [30/May/2019:08:52:38 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:41 +0800] "GET /WF_CAR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:41 +0800] "GET /WF_CAR/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:42 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:54 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:55 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:55 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:55 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "GET /WF_CAR/core/menu.js?_=1559177575850 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "GET /WF_CAR/core/menu.js?_=1559177575851 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:56 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:57 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:57 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8556
0:0:0:0:0:0:0:1 - - [30/May/2019:08:52:58 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [30/May/2019:08:53:03 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [30/May/2019:08:53:03 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [30/May/2019:08:53:03 +0800] "POST /WF_CAR/common_bindSQLDataBackend.action HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [30/May/2019:08:53:04 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [30/May/2019:08:53:15 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [30/May/2019:08:53:15 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
