127.0.0.1 - - [18/Jun/2019:09:06:28 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:41 +0800] "GET /APP_YB_ZYMY/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:42 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "POST /APP_YB_ZYMY/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/framework-c.html HTTP/1.1" 200 8199
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/jquery/jquery-1.11.1.js?rev=c178fc9a0b7e72f290b5df2cda400836 HTTP/1.1" 200 96495
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/core/core-all.js?rev=b662be0219dc19a5119a507b3ae117b2 HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/jquery/jquery-migrate-1.2.1.js?rev=bebb0704beb980a12709363e1667cc46 HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/jquery/jquery-all.js?rev=96d8da3c38f23b30e27674d6c4b5227d HTTP/1.1" 200 25516
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/core-framework-fw7-css/framework-c.css?rev=d26d04ae12e2636a57ee28af5c7fc12e HTTP/1.1" 200 40865
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/framework7-v1.7.0/js/framework7.min.js?rev=4572357c1e53771b194faaa83fe4fca1 HTTP/1.1" 200 327742
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/framework7-extend/framework7.extend.js?rev=cecaa2a530a4f38afb7a370038b0d8df HTTP/1.1" 200 24664
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/core-framework-fw7/coreframework-all.js?rev=6a721cabeade7eabe48bc0ee13796682 HTTP/1.1" 200 324377
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/app-init/initparams.js?rev=f2e9e4c3ac4ac789addd48805ea7ae7a HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/appstarter/commonstarter.js?rev=60a240dbf545c8ebdcce4b760fe81379 HTTP/1.1" 200 6005
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/prjPages/prjCss/localCSS.css?rev=c5dd92e7cd730ddd81cc37360e979674 HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/framework7-v1.7.0/css/framework7.ios.css?rev=cdd887218a6fcc0b779e792483b0bfd9 HTTP/1.1" 200 294317
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/framework7-v1.7.0/css/framework7.ios.colors.min.css?rev=a2d8610dd1e728b65781885ea50e574f HTTP/1.1" 200 128525
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dist/core-framework-fw7/features/fw7feature-all.js?rev=9ebc8c64bce73ea83eef80c1e0ff1adb HTTP/1.1" 200 45284
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/dev/framework7-extend/framework7.ios.extend.css?rev=a9dc1be4921a8edecec54dc1ab6282cd HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/prjPages/appViewContent.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "POST /APP_YB_ZYMY/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "POST /APP_YB_ZYMY/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/prjPages/prjCss/my.svg HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "GET /APP_YB_ZYMY/prjPages/prjCss/bx_active.svg HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:51 +0800] "POST /APP_YB_ZYMY/m_getWFIdenityFromMobile.action HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:57 +0800] "POST /APP_YB_ZYMY/m_setDefaultRole.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [18/Jun/2019:09:06:57 +0800] "POST /APP_YB_ZYMY/m_userLoginFromMobile.action HTTP/1.1" 200 36
