127.0.0.1 - - [06/Jun/2019:08:30:55 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:40:46 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:40:47 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:01 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "GET /WF_CAR/core/menu.js?_=1559781663389 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "GET /WF_CAR/core/menu.js?_=1559781663390 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:03 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8319
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:04 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:07 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "GET /WF_CAR/core/menu.js?_=1559781671168 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "GET /WF_CAR/core/menu.js?_=1559781671169 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8319
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:41:11 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:43:29 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:43:29 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 4735
0:0:0:0:0:0:0:1 - - [06/Jun/2019:08:43:29 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 1126
