127.0.0.1 - - [11/Jul/2019:08:35:13 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:31 +0800] "GET /APP_TRIP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:31 +0800] "GET /APP_TRIP/ HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:31 +0800] "GET /APP_TRIP/quickaccess/mobilelogin.js HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:31 +0800] "GET /APP_TRIP/dev/jquery/jquery-1.11.1.js HTTP/1.1" 200 283303
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:31 +0800] "GET /APP_TRIP/dev/jquery/jquery-migrate-1.2.1.js HTTP/1.1" 200 16768
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:32 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "POST /APP_TRIP/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/framework-c.html HTTP/1.1" 200 8199
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/jquery/jquery-1.11.1.js?rev=c178fc9a0b7e72f290b5df2cda400836 HTTP/1.1" 200 96495
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/app-init/initparams.js?rev=f2e9e4c3ac4ac789addd48805ea7ae7a HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/jquery/jquery-all.js?rev=96d8da3c38f23b30e27674d6c4b5227d HTTP/1.1" 200 25516
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/js/framework7.min.js?rev=4572357c1e53771b194faaa83fe4fca1 HTTP/1.1" 200 327742
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/core-framework-fw7-css/framework-c.css?rev=d26d04ae12e2636a57ee28af5c7fc12e HTTP/1.1" 200 40865
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/framework7-extend/framework7.extend.js?rev=cecaa2a530a4f38afb7a370038b0d8df HTTP/1.1" 200 24664
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/core-framework-fw7/coreframework-all.js?rev=cb28b4513c37e7f57c757c350e311063 HTTP/1.1" 200 324377
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/core/core-all.js?rev=b662be0219dc19a5119a507b3ae117b2 HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/appstarter/commonstarter.js?rev=60a240dbf545c8ebdcce4b760fe81379 HTTP/1.1" 200 6005
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/jquery/jquery-migrate-1.2.1.js?rev=bebb0704beb980a12709363e1667cc46 HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/prjPages/prjCss/localCSS.css?rev=c5dd92e7cd730ddd81cc37360e979674 HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/css/framework7.ios.colors.min.css?rev=a2d8610dd1e728b65781885ea50e574f HTTP/1.1" 200 128525
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/css/framework7.ios.css?rev=cdd887218a6fcc0b779e792483b0bfd9 HTTP/1.1" 200 294317
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dist/core-framework-fw7/features/fw7feature-all.js?rev=9ebc8c64bce73ea83eef80c1e0ff1adb HTTP/1.1" 200 45284
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/dev/framework7-extend/framework7.ios.extend.css?rev=a9dc1be4921a8edecec54dc1ab6282cd HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/prjPages/appViewContent.html HTTP/1.1" 200 3731
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "POST /APP_TRIP/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "POST /APP_TRIP/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/prjPages/prjCss/home_active.svg HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/prjPages/prjCss/reim.svg HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/prjPages/prjCss/my.svg HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:34 +0800] "GET /APP_TRIP/prjPages/prjCss/order.svg HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/m_getWFIdenityFromMobile.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/loadInitConstants.action HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/getMobileUserContext.action HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [11/Jul/2019:08:35:35 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
