127.0.0.1 - - [21/Jun/2019:08:22:59 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:27 +0800] "GET /APP_YB_ZYMY/framework-c.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:27 +0800] "GET /APP_YB_ZYMY/prjPages/prjCss/localCSS.css?rev=c5dd92e7cd730ddd81cc37360e979674 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:27 +0800] "GET /APP_YB_ZYMY/prjPages/appViewContent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:27 +0800] "POST /APP_YB_ZYMY/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:27 +0800] "POST /APP_YB_ZYMY/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:27 +0800] "POST /APP_YB_ZYMY/m_getWFIdenityFromMobile.action HTTP/1.1" 500 1655
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:30 +0800] "POST /APP_YB_ZYMY/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/m_getWFIdenityFromMobile.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/loadInitConstants.action HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/getMobileUserContext.action HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/loadDefinition.action HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/loadRolesMenuForMobile.action HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/loadRolesMenuForMobile.action HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/loadAdvertisesForMobile.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "GET /APP_YB_ZYMY/prjPages/id3be6bf10f64223f26aa9be3a741e219626e8af59.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "POST /APP_YB_ZYMY/loadInitFunction.action HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [21/Jun/2019:08:23:31 +0800] "GET /APP_YB_ZYMY/prjPages/prjCss/id3be6bf10f64223f26aa9be3a741e219626e8af59.css HTTP/1.1" 304 -
