0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/getMobileUserContext.action HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadInitConstants.action HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadAdvertisesForMobile.action HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/prjPages/idfee3e3ad9edc8f6b0002192655439c56e1ecc42a.html HTTP/1.1" 200 5987
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadInitFunction.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/common_bindSQLDataBackend.action HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/idfee3e3ad9edc8f6b0002192655439c56e1ecc42a.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/prjPages/prjJSs/idfee3e3ad9edc8f6b0002192655439c56e1ecc42a.js HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/triphome_todo.svg HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/%7B%7BICO%7D%7D HTTP/1.1" 404 1658
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 4553
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 5910
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_90.svg HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_0.svg HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_10.svg HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_20.svg HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/o.png HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_all.svg HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_international.svg HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "GET /APP_TRIP_TJDX/Customize/customImg/appIcon/tripico/home_meeting.svg HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 2369
