127.0.0.1 - - [24/Jun/2019:08:45:07 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/app-init/initparams.js?rev=f2e9e4c3ac4ac789addd48805ea7ae7a HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/jquery/jquery-migrate-1.2.1.js?rev=bebb0704beb980a12709363e1667cc46 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/jquery/jquery-1.11.1.js?rev=c178fc9a0b7e72f290b5df2cda400836 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/core-framework-fw7-css/framework-c.css?rev=d26d04ae12e2636a57ee28af5c7fc12e HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/core/core-all.js?rev=b662be0219dc19a5119a507b3ae117b2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/jquery/jquery-all.js?rev=96d8da3c38f23b30e27674d6c4b5227d HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/core-framework-fw7/coreframework-all.js?rev=cb28b4513c37e7f57c757c350e311063 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/framework7-extend/framework7.extend.js?rev=cecaa2a530a4f38afb7a370038b0d8df HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/js/framework7.min.js?rev=4572357c1e53771b194faaa83fe4fca1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/prjPages/prjCss/localCSS.css?rev=c5dd92e7cd730ddd81cc37360e979674 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/appstarter/commonstarter.js?rev=60a240dbf545c8ebdcce4b760fe81379 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/css/framework7.ios.css?rev=cdd887218a6fcc0b779e792483b0bfd9 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/css/framework7.ios.colors.min.css?rev=a2d8610dd1e728b65781885ea50e574f HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/core-framework-fw7/features/fw7feature-all.js?rev=9ebc8c64bce73ea83eef80c1e0ff1adb HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dev/framework7-extend/framework7.ios.extend.css?rev=a9dc1be4921a8edecec54dc1ab6282cd HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/dist/framework7-v1.7.0/js/framework7.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "GET /APP_TRIP/prjPages/appViewContent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/m_getWFIdenityFromMobile.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loadInitConstants.action HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/getMobileUserContext.action HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:22 +0800] "POST /APP_TRIP/loadRolesMenuForMobile.action HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadAdvertisesForMobile.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/id09728e950dd2d23561a7c30cc69db9276693054c.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadInitFunction.action HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjJSs/id09728e950dd2d23561a7c30cc69db9276693054c.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjCss/id09728e950dd2d23561a7c30cc69db9276693054c.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/%7B%7BICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/common_bindSQLDataBackend.action HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 4586
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 5066
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/idd441458ac059c2a542907ee5eadd24b5044172c7.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjCss/idd441458ac059c2a542907ee5eadd24b5044172c7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjJSs/idd441458ac059c2a542907ee5eadd24b5044172c7.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/%7B%7BTYPE_ICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 21535
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/id3ca64cacc688db6f7a855704682778d3db45ae40.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjJSs/id3ca64cacc688db6f7a855704682778d3db45ae40.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjCss/id3ca64cacc688db6f7a855704682778d3db45ae40.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/%7B%7BTRIPTYPE_ICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/id195584c98b24d25c40de76a337fe18dd4cef1b31.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjCss/id195584c98b24d25c40de76a337fe18dd4cef1b31.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/prjPages/prjJSs/id195584c98b24d25c40de76a337fe18dd4cef1b31.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "GET /APP_TRIP/%7B%7BUSER_ICO%7D%7D HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/loadDefinition.action HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:23 +0800] "POST /APP_TRIP/commonQuery_doQueryBySQLid.action HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "GET /APP_YB_ZYMY/dist/framework7-extend/framework7.extend.js?rev=cecaa2a530a4f38afb7a370038b0d8df HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "GET /APP_YB_ZYMY/dist/core-framework-fw7/coreframework-all.js?rev=6a721cabeade7eabe48bc0ee13796682 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "GET /APP_YB_ZYMY/dist/core-framework-fw7-css/framework-c.css?rev=d26d04ae12e2636a57ee28af5c7fc12e HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "GET /APP_YB_ZYMY/prjPages/prjCss/localCSS.css?rev=c5dd92e7cd730ddd81cc37360e979674 HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "GET /APP_YB_ZYMY/dist/core-framework-fw7/features/fw7feature-all.js?rev=9ebc8c64bce73ea83eef80c1e0ff1adb HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "GET /APP_YB_ZYMY/prjPages/appViewContent.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/pay2_getCCBAppInfo.action HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/m_getWFIdenityFromMobile.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/loadInitConstants.action HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [24/Jun/2019:08:45:26 +0800] "POST /APP_YB_ZYMY/getMobileUserContext.action HTTP/1.1" 200 764
