127.0.0.1 - - [29/May/2019:08:36:24 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:07 +0800] "GET /WF_CAR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:07 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:17 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:18 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:18 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:18 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:18 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:18 +0800] "GET /WF_CAR/core/menu.js?_=1559090238800 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "GET /WF_CAR/core/menu.js?_=1559090238801 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8314
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:19 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:20 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:20 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 6548
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:20 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:28 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:28 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:28 +0800] "POST /WF_CAR/common_bindSQLDataBackend.action HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:47 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:48 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:48 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 6560
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:48 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [29/May/2019:08:37:51 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "GET /WF_CAR/core/menu.js?_=1559090895421 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [29/May/2019:08:48:15 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
