0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/home.css HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/jquery-ui.css HTTP/1.1" 200 34389
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/css/tree.css HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/page.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/core/all.js?v=1092 HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/theme/ui.tabs.css HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/form/form.css HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/grid/ui.jqgrid.css HTTP/1.1" 200 13779
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/grid/gridtree.css HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/grid/cardlayout.css HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/grid/grid.css HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/menu/menu.css HTTP/1.1" 200 6783
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/treeview/jquery.treeview.css HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/validate/screen.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [27/May/2019:08:37:22 +0800] "GET /WF_CAR/style/drilltable/drilltable.css HTTP/1.1" 200 660
